Format Version,1.21,Take Name,evo_flight_11,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-07-20 10.57.49 AM,Total Frames in Take,14678,Total Exported Frames,14678,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z
186,1.550000,-0.004516,-0.698363,-0.004975,-0.715712,-0.663226,0.062861,-0.517997
187,1.558333,-0.004745,-0.698487,-0.005191,-0.715589,-0.663234,0.062935,-0.518009
188,1.566667,-0.005093,-0.698652,-0.004988,-0.715427,-0.663248,0.062887,-0.518000
189,1.575000,-0.004211,-0.698438,-0.005229,-0.715639,-0.663216,0.062910,-0.517986
190,1.583333,-0.004495,-0.698460,-0.005106,-0.715617,-0.663204,0.062928,-0.517988
191,1.591667,-0.004094,-0.698429,-0.005365,-0.715647,-0.663269,0.062851,-0.518022
192,1.600000,-0.005016,-0.698686,-0.005145,-0.715392,-0.663228,0.062945,-0.517955
193,1.608333,-0.004529,-0.698426,-0.005440,-0.715648,-0.663242,0.062901,-0.518029
194,1.616667,-0.004742,-0.698491,-0.004891,-0.715586,-0.663186,0.062927,-0.517969
195,1.625000,-0.004617,-0.698467,-0.005305,-0.715608,-0.663234,0.062941,-0.517983
196,1.633333,-0.004881,-0.698403,-0.005165,-0.715669,-0.663222,0.062899,-0.518004
197,1.641667,-0.004614,-0.698474,-0.005451,-0.715599,-0.663266,0.062875,-0.518035
198,1.650000,-0.004969,-0.698364,-0.004995,-0.715708,-0.663196,0.062964,-0.517988
199,1.658333,-0.004385,-0.698361,-0.005679,-0.715710,-0.663204,0.062924,-0.517953
200,1.666667,-0.004434,-0.698312,-0.005346,-0.715760,-0.663239,0.062861,-0.518006
201,1.675000,-0.004534,-0.698453,-0.005135,-0.715623,-0.663235,0.062852,-0.518027
202,1.683333,-0.004793,-0.698443,-0.005152,-0.715631,-0.663207,0.062956,-0.517978
203,1.691667,-0.004616,-0.698262,-0.005531,-0.715806,-0.663247,0.062875,-0.518040
204,1.700000,-0.004831,-0.698482,-0.005186,-0.715593,-0.663239,0.062897,-0.518008
205,1.708333,-0.004806,-0.698434,-0.005108,-0.715640,-0.663216,0.062878,-0.518012
206,1.716667,-0.004810,-0.698486,-0.005547,-0.715586,-0.663272,0.062926,-0.518006
207,1.725000,-0.004946,-0.698396,-0.004995,-0.715677,-0.663217,0.062908,-0.517999
208,1.733333,-0.004238,-0.698406,-0.005188,-0.715670,-0.663206,0.062931,-0.517976
209,1.741667,-0.004185,-0.698484,-0.005387,-0.715593,-0.663218,0.062903,-0.517982
210,1.750000,-0.004613,-0.698341,-0.005130,-0.715732,-0.663206,0.062929,-0.517967
211,1.758333,-0.004919,-0.698515,-0.005071,-0.715561,-0.663235,0.062883,-0.517989
212,1.766667,-0.005284,-0.698413,-0.005285,-0.715656,-0.663233,0.062963,-0.517957
213,1.775000,-0.004553,-0.698444,-0.005174,-0.715631,-0.663173,0.062949,-0.517958
214,1.783333,-0.004486,-0.698453,-0.005566,-0.715621,-0.663227,0.062862,-0.518003
215,1.791667,-0.004865,-0.698492,-0.005322,-0.715581,-0.663249,0.062843,-0.518020
216,1.800000,-0.004929,-0.698541,-0.004966,-0.715535,-0.663227,0.062875,-0.517988
217,1.808333,-0.004437,-0.698444,-0.005165,-0.715633,-0.663218,0.062904,-0.517980
218,1.816667,-0.004588,-0.698381,-0.005193,-0.715692,-0.663217,0.062886,-0.517993
219,1.825000,-0.004519,-0.698410,-0.005423,-0.715663,-0.663226,0.062854,-0.518013
220,1.833333,-0.004431,-0.698481,-0.005200,-0.715596,-0.663247,0.062875,-0.517994
221,1.841667,-0.004146,-0.698412,-0.005059,-0.715666,-0.663217,0.062876,-0.517973
222,1.850000,-0.004179,-0.698466,-0.005374,-0.715611,-0.663225,0.062890,-0.517997
223,1.858333,-0.005084,-0.698561,-0.004959,-0.715515,-0.663221,0.062921,-0.517967
224,1.866667,-0.004570,-0.698629,-0.004725,-0.715454,-0.663233,0.062804,-0.517997
225,1.875000,-0.004406,-0.698281,-0.005395,-0.715790,-0.663178,0.062868,-0.517981
226,1.883333,-0.004095,-0.698425,-0.005179,-0.715653,-0.663215,0.062851,-0.517980
227,1.891667,-0.004619,-0.698396,-0.005047,-0.715679,-0.663242,0.062856,-0.517998
